商品名,価格,URL,熱量,たんぱく質,脂質,炭水化物,糖質,食物繊維,食塩相当量
ハムサンド,343円(税込),https://www.lawson.co.jp/recommend/original/detail/1404254_1996.html,249kcal,10.4g,10.0g,30.0g,28.6g,1.4g,2.29g
バターソースとふわふわパンケーキ,257円(税込),https://www.lawson.co.jp/recommend/original/detail/1494409_1996.html,227kcal,5.0g,11.5g,26.4g,25.1g,1.3g,0.5g
ハムチーズたまごサンド,365円(税込),https://www.lawson.co.jp/recommend/original/detail/1500454_1996.html,253kcal,12.0g,12.2g,24.3g,23.1g,1.2g,2.02g
野菜ミックスサンド,354円(税込),https://www.lawson.co.jp/recommend/original/detail/1503559_1996.html,226kcal,7.2g,10.6g,26.1g,24.6g,1.5g,1.37g
ヒレカツBOX,473円(税込),https://www.lawson.co.jp/recommend/original/detail/1506435_1996.html,393kcal,14.6g,19.5g,41.0g,38.7g,2.3g,2.81g
レタスサンド,343円(税込),https://www.lawson.co.jp/recommend/original/detail/1506438_1996.html,216kcal,8.4g,10.5g,22.6g,21.2g,1.4g,1.84g
ハムたまごサンド,383円(税込),https://www.lawson.co.jp/recommend/original/detail/1506439_1996.html,319kcal,13.4g,17.5g,27.5g,26.3g,1.2g,2.49g
たまごサンド,297円(税込),https://www.lawson.co.jp/recommend/original/detail/1506440_1996.html,297kcal,9.1g,19.0g,22.7g,21.9g,0.8g,1.69g
BLTEサンド,430円(税込),https://www.lawson.co.jp/recommend/original/detail/1507412_1996.html,207kcal,9.7g,7.5g,25.9g,24.5g,1.4g,1.49g
ハムカツ＆焼そばサンド,322円(税込),https://www.lawson.co.jp/recommend/original/detail/1507881_1996.html,345kcal,9.9g,15.3g,42.9g,41.1g,1.8g,2.71g
ハムたまごBOX,365円(税込),https://www.lawson.co.jp/recommend/original/detail/1508158_1996.html,251kcal,10.7g,11.1g,27.7g,26.3g,1.4g,1.89g
照焼チキンたまごサンド,365円(税込),https://www.lawson.co.jp/recommend/original/detail/1508281_1996.html,238kcal,13.0g,9.1g,26.6g,25.5g,1.1g,2.26g
ポテトサラダサンド,297円(税込),https://www.lawson.co.jp/recommend/original/detail/1508863_1996.html,231kcal,6.9g,10.0g,29.4g,27.2g,2.2g,1.66g
ミックスサンド,333円(税込),https://www.lawson.co.jp/recommend/original/detail/1509276_1996.html,320kcal,11.2g,18.4g,28.1g,26.7g,1.4g,1.84g
ツナたまごサンド,297円(税込),https://www.lawson.co.jp/recommend/original/detail/1509277_1996.html,320kcal,9.3g,20.9g,24.3g,23.2g,1.1g,1.47g
ピザロール　ハム＆チーズ,270円(税込),https://www.lawson.co.jp/recommend/original/detail/1510962_1996.html,192kcal,10.7g,5.9g,24.9g,23.1g,1.8g,1.8g
ピザロール　あらびきウインナー,329円(税込),https://www.lawson.co.jp/recommend/original/detail/1511218_1996.html,250kcal,9.9g,12.7g,25.1g,23.1g,2.0g,1.8g
たんぱく質が摂れるROLLサンド　チキンとたまご,430円(税込),https://www.lawson.co.jp/recommend/original/detail/1511220_1996.html,303kcal,18.7g,11.2g,33.1g,30.5g,2.6g,2.18g
ピザロール　マルゲリータ,270円(税込),https://www.lawson.co.jp/recommend/original/detail/1511397_1996.html,191kcal,10.3g,5.7g,25.7g,23.7g,2.0g,1.5g
あふれるチーズバーガー,365円(税込),https://www.lawson.co.jp/recommend/original/detail/1511398_1996.html,393kcal,18.0g,21.5g,33.3g,30.6g,2.7g,2.49g
とろ〜りチーズホットドッグ,343円(税込),https://www.lawson.co.jp/recommend/original/detail/1512092_1996.html,348kcal,13.6g,21.8g,25.3g,23.5g,1.8g,2.12g
ピザロール　てりマヨチキン,302円(税込),https://www.lawson.co.jp/recommend/original/detail/1512922_1996.html,196kcal,10.8g,5.9g,26.3g,23.6g,2.7g,1.6g
ROLLサンド　海老アボカドソース,397円(税込),https://www.lawson.co.jp/recommend/original/detail/1513293_1996.html,309kcal,8.2g,17.1g,31.6g,29.4g,2.2g,1.95g
ホットサンド　チキン＆3種きのこ,365円(税込),https://www.lawson.co.jp/recommend/original/detail/1513618_1996.html,307kcal,14.7g,12.7g,34.7g,32.2g,2.5g,2.23g
ピザロール　ベーコン＆ジェノベーゼ,297円(税込),https://www.lawson.co.jp/recommend/original/detail/1513770_1996.html,187kcal,8.1g,6.6g,24.9g,22.9g,2.0g,1.5g
よくばりサンド　野菜＆たまご,333円(税込),https://www.lawson.co.jp/recommend/original/detail/1513771_1996.html,252kcal,8.0g,13.8g,24.8g,23.1g,1.7g,1.63g
大きなサンドイッチ　野菜照焼チキンサンド,451円(税込),https://www.lawson.co.jp/recommend/original/detail/1513772_1996.html,445kcal,19.5g,17.4g,54.1g,51.3g,2.8g,3.13g
